% 1.Title: Kinopoisk serials database
%
% 2.Sources:
%   (a) Creator: Vysotin Danil
%   (b) Date: October, 2024
%
@RELATION kinopoisk

@ATTRIBUTE id integer
@ATTRIBUTE title string
@ATTRIBUTE rating numeric
@ATTRIBUTE number_of_ratings integer
@ATTRIBUTE country string
@ATTRIBUTE genre {драма,комедия,боевик,фантастика,ужасы,мелодрама,триллер,приключения,документальный,аниме,криминал,история,фэнтези,спорт,мультфильм,детский,музыка,военный,детектив,биография,мюзикл,реальноеТВ,игра}
@ATTRIBUTE director string
@ATTRIBUTE age_rate {0+,6+,12+,16+,18+}
@ATTRIBUTE year integer
@ATTRIBUTE review_count integer
@ATTRIBUTE duration_minutes integer

@DATA
158,'Райцентр',7.0,155427,'Россия',комедия,'Данил Чащин',18+,2023,5,50
159,'Возвращение блудного попугая',8.1,153973,'СССР',мультфильм,'Валентин Караваев',0+,1984,6,10
160,'Страх над Невой',7.8,153884,'Россия',детектив,'Илья Максимов',18+,2023,1,48
161,'Самка богомола',7.7,153029,'Россия',триллер,'Нурбек Эген',18+,2021,7,52
162,'Спроси Марту',7.9,151920,'Россия',драма,'Флюза Фархшатова',18+,2020,7,45
163,'Родком',7.9,151721,'Россия',комедия,'Мария Кравченко',18+,2020,10,24
165,'Клюквенный щербет',8.5,148763,'Турция',мелодрама,'Кетджхе',18+,2022,1,?
166,'Киберкраш: Влюбиться в твою улыбку',8.5,144540,'Китай',мелодрама,'Цю Чжунвэй',18+,2021,9,45
167,'На страже пляжа',7.8,143960,'Россия',детектив,'Акаки Сахелашвили',18+,2022,1,45
168,'Темные начала',7.8,143632,'Великобритания',фантастика,'Джейми Чайлдс',18+,2019,30,60
169,'Хор',8.6,143024,'Россия',музыка,'Алёна Райнер',18+,2019,9,50
170,'Юность',7.8,142729,'Россия',комедия,'Александр Потапов',18+,2023,8,?
171,'Клуб Винкс – Школа волшебниц',4.6,142389,'Италия',мультфильм,'Иджинио Страффи',12+,2004,105,25
172,'Миротворец',8.0,142238,'США',фантастика,'Джеймс Ганн',18+,2022,28,40
173,'Счастье',8.2,141878,'Корея Южная',фантастика,'Ан Гиль-хо',18+,2021,9,70
174,'Приключения Пети и Волка',8.9,138258,'Россия',мультфильм,'Алексей Лебедев',12+,2018,8,10
175,'Карамора',6.9,137652,'Россия',фэнтези,'Данила Козловский',18+,2022,37,51
176,'Обратная сторона Луны',7.7,136730,'Россия',фантастика,'Александр Котт',18+,2012,30,50
177,'Разрешите обратиться',7.0,136446,'Россия',комедия,'Илья Ермолов',18+,2023,12,30
178,'Обнимая небо',8.2,134047,'Россия',драма,'Милена Фадеева',18+,2013,16,50
179,'Три богатыря. Ни дня без подвига',7.5,134030,'Россия',мультфильм,'Александра Шоха',6+,2024,2,18
180,'Силиконовая долина',8.4,133852,'США',комедия,'Майк Джадж',18+,2014,31,30
181,'Царевны',8.7,133702,'Россия',детский,'Елена Галдобина',0+,2018,2,6
182,'Детективный синдром',7.7,133537,'Россия',драма,'Роман Волобуев',18+,2019,3,50
183,'Ищейка',8.2,132511,'Россия',детектив,'Дмитрий Брусникин',18+,2015,1,50
184,'Крепость Бадабер',8.5,132129,'Россия',драма,'Кирилл Белевич',18+,2018,7,45
185,'Формула преступления',8.4,131668,'Россия',детектив,'Сергей Виноградов',18+,2019,10,50
186,'Псих',7.4,131078,'Россия',драма,'Фёдор Бондарчук',18+,2020,41,60
187,'Как Деревянко Ломоносова играл',7.7,130455,'Россия',комедия,'Раиля Каримова',18+,2024,2,24
188,'Малышарики',9.0,129986,'Россия',мультфильм,'Марина Мошкова',0+,2015,7,5
189,'Хэдшот',7.2,128385,'Россия',фантастика,'Владимир Битоков',18+,2022,20,46
190,'Трейдер',8.0,127382,'Россия',детектив,'Энтони Уоллер',18+,2023,3,?
191,'Отыграть назад',7.5,126630,'США',триллер,'Сюзанна Бир',18+,2020,27,?
192,'Последний аксель',7.8,125988,'Россия',драма,'Анарио Мамедов',18+,2021,8,47
193,'Колл-центр',7.5,125184,'Россия',триллер,'Наташа Меркулова',18+,2020,33,44
194,'СМЕРШ',7.7,124600,'Россия',детектив,'Олег Фомин',18+,2019,6,45
195,'Доктор Преображенский',8.0,124213,'Россия',драма,'Сергей Тарамаев',18+,2018,2,50
196,'Крик совы',8.1,124096,'Россия',детектив,'Олег Погодин',18+,2013,18,50
197,'Силачка До Бон Сун',8.2,122235,'Корея Южная',комедия,'Ли Хён-мин',18+,2017,14,60
198,'Консультант',7.7,121456,'Россия',детектив,'Алексей Рудаков',18+,2016,10,48
199,'Лучше, чем люди',7.8,120175,'Россия',драма,'Андрей Джунковский',12+,2018,26,53
200,'Романовы',8.9,120150,'Россия',документальный,'Максим Беспалый',12+,2013,17,60
201,'Большая секунда',8.2,118908,'Россия',комедия,'Виктор Шамиров',18+,2021,29,25
202,'Неверные',7.7,118560,'Россия',драма,'Алексей Кузмин-Тарасов',18+,2024,?,?
203,'Отчим',8.3,118323,'Россия',драма,'Сергей Гинзбург',18+,2018,2,50
204,'Объяснялкины',8.1,115730,'Россия',мультфильм,'Евгений Блинников',18+,2023,24,19
205,'Совершенно другой',8.0,115461,'Турция',детектив,'Неслихан Ешилюрт',18+,2023,5,?
206,'Красная королева',8.2,115332,'Россия',биография,'Алёна Райнер',18+,2015,19,59
207,'Спецназ',8.0,114735,'Россия',боевик,'Андрей Малюков',18+,2002,9,?
208,'Немодельное агентство',6.8,114550,'Россия',драма,'Антон Меньшиков',18+,2022,7,30
209,'Кухня. Война за отель',7.0,114299,'Россия',комедия,'Евгений Шелякин',18+,2019,10,24
210,'Преступление',7.9,113784,'Россия',драма,'Максим Василенко',18+,2016,19,44
211,'Пробуждение',8.2,113755,'Россия',драма,'Эдуард Парри',18+,2021,4,?
212,'«Везёт»',7.7,112867,'Россия',комедия,'Владимир Щегольков',18+,2021,10,35
213,'Апостол',8.0,112622,'Россия',боевик,'Юрий Мороз',18+,2008,32,?
214,'Паразит: Учение о жизни',8.2,112502,'Япония',аниме,'Кэнъити Симидзу',18+,2014,17,23
215,'Большая перемена',8.5,112046,'СССР',мелодрама,'Алексей Коренев',0+,1972,26,?
216,'АльфаРомео',7.5,111901,'Россия',драма,'Радик Рахимов',18+,2023,4,25
217,'Смешарики снимают кино',8.9,111788,'Россия',мультфильм,'Денис Чернов',0+,2023,4,?
218,'Миллиарды',8.3,110795,'США',драма,'Колин Бакси',18+,2016,29,60
219,'Маша и Медведь. Сезон 7',8.7,110706,'Россия',мультфильм,'Екатерина Грошева',0+,2023,?,7
220,'Призрак',7.2,110632,'Россия',триллер,'Анарио Мамедов',18+,2019,5,50
221,'Мошенники',8.0,110400,'Казахстан',криминал,'Олжас Нурбай',18+,2023,6,25
222,'Слабый герой',8.4,109577,'Корея Южная',драма,'Ю Су-мин',18+,2022,13,40
223,'Диагноз «Везучая»',7.4,109497,'Россия',комедия,'Кирилл Кузин',18+,2023,1,40
224,'Глухарь',7.9,109404,'Россия',детектив,'Гузэль Киреева',18+,2008,38,45
225,'ГДР',7.9,109101,'Россия',детектив,'Сергей Попов',18+,2023,18,50
226,'Трепачи',7.4,108888,'Россия',комедия,'Симон Багдасарян',18+,2023,8,30
227,'Рим',8.3,108577,'Великобритания',драма,'Майкл Аптед',18+,2005,88,55
228,'Чёрно-белая любовь',8.3,107991,'Турция',драма,'Эмир Кхалильзаде',18+,2017,9,140
229,'Если сильно полюбишь',7.9,107736,'Турция',драма,'Али Билгин',18+,2023,1,133
230,'Воскресенский',7.6,105648,'Россия',детектив,'Дмитрий Петрунь',18+,2021,11,54
231,'Крёстный',8.5,105591,'Россия',драма,'Тимур Алпатов',18+,2014,1,?
232,'Гостья из будущего',8.3,105542,'СССР',фантастика,'Павел Арсенов',6+,1984,49,64
233,'Крюк',8.0,105515,'Россия',драма,'Иван Оганесов',18+,2021,1,30
234,'Зёма',7.7,104819,'Россия',комедия,'Вадим Валиуллин',18+,2017,7,10
235,'Однажды разрушение постучалось в мою дверь',8.2,104677,'Корея Южная',мелодрама,'Квон Ён-иль',18+,2021,7,70
236,'Однажды ночью',7.8,103465,'США',драма,'Стивен Зеллиан',18+,2016,36,60
237,'Гардемарины, вперед!',8.2,103233,'СССР',мюзикл,'Светлана Дружинина',6+,1987,39,?
238,'Дороро',8.3,102943,'Япония',аниме,'Кадзухиро Фурухаси',18+,2019,6,24
239,'Лео и Тиг',8.2,102849,'Россия',мультфильм,'Александр Люткевич',0+,2016,7,11
240,'Скажи правду',7.3,101932,'Россия',драма,'Андрей Эшпай',18+,2019,6,50
241,'Остров ненужных людей',7.7,101864,'Россия',драма,'Эдуард Парри',18+,2011,44,45
242,'Перевал',7.9,101488,'Германия',триллер,'Сирил Босс',18+,2018,18,43
243,'Стрим',7.6,101304,'Россия',комедия,'Рустам Ильясов',18+,2022,3,22
244,'Атака титанов: Выбор без сожалений',8.6,100356,'Япония',аниме,'Тэцуро Араки',18+,2014,2,25
245,'Декстер: Новая кровь',7.7,100232,'США',драма,'Маркос Сига',18+,2021,38,?
246,'Противостояние',7.9,99299,'Россия',детектив,'Тимур Алпатов',18+,2024,6,55
247,'Заступники',8.5,98731,'Россия',драма,'Владимир Котт',18+,2018,14,50
248,'Убийство по Фрейду',7.8,98235,'Великобритания',триллер,'Роберт Дорнхельм',18+,2019,8,90
249,'Стая',7.2,98196,'Россия',драма,'Марк Горобец',18+,2022,6,48
250,'Моя мама — шпион',7.5,96871,'Россия',комедия,'Дмитрий Губарев',18+,2022,3,24
251,'Что случилось с секретарём Ким?',8.1,96737,'Корея Южная',мелодрама,'Пак Чун-хва',12+,2018,9,60
252,'Потомки солнца',8.5,96705,'Корея Южная',мелодрама,'Ли Ын-бок',18+,2016,29,60
253,'Призрачный доктор',8.6,96209,'Корея Южная',драма,'Пу Сон-чхоль',18+,2022,8,60
254,'Тайна пропавшей деревни',6.9,95862,'Россия',детектив,'Андрей Шавкеро',18+,2022,4,26
255,'Мышь',8.4,95847,'Корея Южная',триллер,'Кан Чхор-у',18+,2021,11,70
256,'Большой дом',7.6,95005,'Россия',детектив,'Егор Кончаловский',12+,2023,7,?
257,'Герои Энвелла',9.3,94748,'Россия',мультфильм,'Антон Ланшаков',6+,2017,6,11
258,'Убойная сила',7.5,94747,'Россия',боевик,'Евгений Аксенов',12+,2000,13,50
259,'Дело гастронома №1',8.1,94469,'Россия',драма,'Сергей Ашкенази',18+,2011,10,48
260,'Фарца',7.5,94112,'Россия',криминал,'Егор Баранов',18+,2015,22,54
261,'Актрисы',6.9,93397,'Россия',драма,'Фёдор Бондарчук',18+,2023,22,35
